molecule_chembl_id,canonical_smiles,standard_value,standard_units,pchembl_value
CHEMBL274144,CCCCCCN(C)C(=O)Nc1ccc(S(=O)(=O)Nc2ccc(CCNC[C@H](O)COc3ccc(O)cc3)cc2)cc1,720.0,nM,6.14
CHEMBL124584,O=[N+]([O-])/C=C(\Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1)Nc1cccc(F)c1,2400.0,nM,5.62
CHEMBL127451,NC(=O)c1cccc(N/C(=C/[N+](=O)[O-])Nc2ccc(CCNC[C@H](O)c3cccnc3)cc2)c1,1200.0,nM,5.92
CHEMBL410702,O=[N+]([O-])/C=C(\Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1)Nc1ccc2ccccc2c1,3400.0,nM,5.47
CHEMBL13459,CCCCCNC(=O)Nc1ccc(S(=O)(=O)Nc2ccc(CCNC[C@H](O)COc3ccc(O)cc3)cc2)cc1,350.0,nM,6.46
CHEMBL13034,Nc1ccc(CCNC[C@H](O)COc2ccc(O)cc2)cc1,500.0,nM,6.30
CHEMBL127422,N#CN/C(=N\c1ccc2ccccc2c1)Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1,50.0,nM,7.30
CHEMBL127428,O=[N+]([O-])/C=C(\Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1)Nc1cccc(I)c1,1200.0,nM,5.92
CHEMBL419787,O=[N+]([O-])/C=C(\Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1)Nc1cccc(Oc2ccccc2)c1,220.0,nM,6.66
CHEMBL12939,CCCCCCOC(=O)Nc1ccc(S(=O)(=O)Nc2ccc(CCNC[C@H](O)COc3ccc(O)cc3)cc2)cc1,110.0,nM,6.96
CHEMBL12911,CCOC(=O)Nc1ccc(S(=O)(=O)Nc2ccc(CCNC[C@H](O)COc3ccc(O)cc3)cc2)cc1,400.0,nM,6.40
CHEMBL12633,C[C@@H](Cc1ccc(O)cc1)NC[C@H](O)COc1ccc(O)cc1,84.0,nM,7.08
CHEMBL276480,CCCS(=O)(=O)Nc1ccc(CCNC[C@H](O)COc2ccc(O)cc2)cc1,500.0,nM,6.30
CHEMBL274807,O=S(=O)(Nc1ccc(CCNC[C@H](O)COc2ccc(O)cc2)cc1)C1CCCCC1,3000.0,nM,5.52
CHEMBL13106,CC(C)OC(=O)Nc1ccc(S(=O)(=O)Nc2ccc(CCNC[C@H](O)COc3ccc(O)cc3)cc2)cc1,210.0,nM,6.68
CHEMBL127656,CCCCCCCCc1csc(N2CCc3c(N/C(=N/c4ccc(CCNC[C@H](O)c5cccnc5)cc4)NC#N)cccc32)n1,930.0,nM,6.03
CHEMBL13521,COCCCNC(=O)Nc1ccc(S(=O)(=O)Nc2ccc(CCNC[C@H](O)COc3ccc(O)cc3)cc2)cc1,1000.0,nM,6.00
CHEMBL12994,C[C@@H](CCc1ccc(O)cc1)NC[C@H](O)COc1ccc(O)cc1,10.0,nM,8.00
CHEMBL417613,O=S(=O)(Nc1ccc(CCNC[C@H](O)COc2ccc(O)cc2)cc1)c1ccccc1,190.0,nM,6.72
CHEMBL12718,Cc1ccc(S(=O)(=O)Nc2ccc(CCNC[C@H](O)COc3ccc(O)cc3)cc2)cc1,170.0,nM,6.77
CHEMBL273428,CC(=O)Nc1ccc(S(=O)(=O)Nc2ccc(CCNC[C@H](O)COc3ccc(O)cc3)cc2)cc1,2000.0,nM,5.70
CHEMBL12498,CCCCCS(=O)(=O)Nc1ccc(CCNC[C@H](O)COc2ccc(O)cc2)cc1,250.0,nM,6.60
CHEMBL338664,CCCCCCCCc1csc(N2CCc3cc(N/C(S)=N/c4ccc(CCNC[C@H](O)c5cccnc5)cc4)ccc32)n1,260.0,nM,6.58
CHEMBL13398,CNC(=O)Nc1ccc(S(=O)(=O)Nc2ccc(CCNC[C@H](O)COc3ccc(O)cc3)cc2)cc1,400.0,nM,6.40
CHEMBL13467,CCCCCCCCNC(=O)Nc1ccc(S(=O)(=O)Nc2ccc(CCNC[C@H](O)COc3ccc(O)cc3)cc2)cc1,170.0,nM,6.77
CHEMBL12450,O=S(=O)(Nc1ccc(CCNC[C@H](O)COc2ccc(O)cc2)cc1)c1ccc(Cl)cc1,280.0,nM,6.55
CHEMBL124929,CCCCCCCCc1csc(N2CCc3ccc(N/C(=N/c4ccc(CCNC[C@H](O)c5cccnc5)cc4)NC#N)cc32)n1,66.0,nM,7.18
CHEMBL13238,CC(C)S(=O)(=O)Nc1ccc(CCNC[C@H](O)COc2ccc(O)cc2)cc1,58.0,nM,7.24
CHEMBL13132,O=C(Nc1ccc(S(=O)(=O)Nc2ccc(CCNC[C@H](O)COc3ccc(O)cc3)cc2)cc1)OCc1ccccc1,130.0,nM,6.89
CHEMBL275511,CCCNC(=O)Nc1ccc(S(=O)(=O)Nc2ccc(CCNC[C@H](O)COc3ccc(O)cc3)cc2)cc1,540.0,nM,6.27
CHEMBL267306,O=S(=O)(Nc1ccc(CCNC[C@H](O)COc2ccc(O)cc2)cc1)c1ccccc1Cl,100.0,nM,7.00
CHEMBL276257,O=S(=O)(Nc1ccc(CCNC[C@H](O)COc2ccc(O)cc2)cc1)c1ccc(I)cc1,120.0,nM,6.92
CHEMBL12876,Oc1ccc(CCNC[C@H](O)COc2ccc(O)cc2)cc1,150.0,nM,6.82
CHEMBL417250,O=C(Nc1ccc(S(=O)(=O)Nc2ccc(CCNC[C@H](O)COc3ccc(O)cc3)cc2)cc1)c1ccccc1,110.0,nM,6.96
CHEMBL12762,COc1ccc(CCCNC[C@H](O)COc2ccc(O)cc2)cc1,63.0,nM,7.20
CHEMBL13102,CC(=O)Nc1ccc(CCNC[C@H](O)COc2ccc(O)cc2)cc1,11.0,nM,7.96
CHEMBL12943,CCC(=O)Nc1ccc(S(=O)(=O)Nc2ccc(CCNC[C@H](O)COc3ccc(O)cc3)cc2)cc1,220.0,nM,6.66
CHEMBL13453,CCCC(=O)Nc1ccc(S(=O)(=O)Nc2ccc(CCNC[C@H](O)COc3ccc(O)cc3)cc2)cc1,230.0,nM,6.64
CHEMBL338748,O=[N+]([O-])/C=C(\Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1)Nc1cccc2ccccc12,370.0,nM,6.43
CHEMBL275291,CC(C)NC(=O)Nc1ccc(S(=O)(=O)Nc2ccc(CCNC[C@H](O)COc3ccc(O)cc3)cc2)cc1,700.0,nM,6.16
CHEMBL274143,CCCCCCNC(=O)N(C)c1ccc(S(=O)(=O)Nc2ccc(CCNC[C@H](O)COc3ccc(O)cc3)cc2)cc1,290.0,nM,6.54
CHEMBL268289,CCCCCCC(=O)Nc1ccc(S(=O)(=O)Nc2ccc(CCNC[C@H](O)COc3ccc(O)cc3)cc2)cc1,230.0,nM,6.64
CHEMBL332010,N#CN/C(=N\c1ccc(CCNC[C@H](O)c2cccnc2)cc1)Nc1cccc(C(N)=O)c1,400.0,nM,6.40
CHEMBL275114,CCCCCCN(C)C(=O)N(C)c1ccc(S(=O)(=O)Nc2ccc(CCNC[C@H](O)COc3ccc(O)cc3)cc2)cc1,120.0,nM,6.92
CHEMBL13068,CC(C)C(=O)Nc1ccc(S(=O)(=O)Nc2ccc(CCNC[C@H](O)COc3ccc(O)cc3)cc2)cc1,450.0,nM,6.35
CHEMBL123745,CCCCCCCCc1csc(N2CCc3cc(N/C(=N/c4ccc(CCNC[C@H](O)c5cccnc5)cc4)NC#N)ccc32)n1,50.0,nM,7.30
CHEMBL79806,CCCCCCn1cnn(-c2ccc(S(=O)(=O)Nc3ccc(CCNC[C@H](O)c4cccnc4)cc3)cc2)c1=O,4500.0,nM,5.35
CHEMBL83698,CCCCCCCCN1C(=O)CN(c2ccc(S(=O)(=O)Nc3ccc(CCNC[C@H](O)c4cccnc4)cc3)cc2)C1=O,370.0,nM,6.43
CHEMBL79363,CCCCCCCCn1c(C)cn(-c2ccc(S(=O)(=O)Nc3ccc(CCNC[C@H](O)c4cccnc4)cc3)cc2)c1=O,7000.0,nM,5.16
CHEMBL312364,CCCCCCCCn1c(=O)[nH]n(-c2ccc(S(=O)(=O)Nc3ccc(CCNC[C@H](O)c4cccnc4)cc3)cc2)c1=O,3000.0,nM,5.52
CHEMBL66936,CCCCCCCCN1CC(=O)N(c2ccc(S(=O)(=O)Nc3ccc(CCNC[C@H](O)c4cccnc4)cc3)cc2)C1=O,5000.0,nM,5.30
CHEMBL84190,CCCCCCCCN1CCN(c2ccc(S(=O)(=O)Nc3ccc(CCNC[C@H](O)c4cccnc4)cc3)cc2)C1=O,380.0,nM,6.42
CHEMBL83753,CCCCCCCCn1ccn(-c2ccc(S(=O)(=O)Nc3ccc(CCNC[C@H](O)c4cccnc4)cc3)cc2)c1=O,330.0,nM,6.48
CHEMBL351467,CCCCCCn1c(=O)[nH]n(-c2ccc(S(=O)(=O)Nc3ccc(CCNC[C@H](O)c4cccnc4)cc3)cc2)c1=O,10000.0,nM,5.00
CHEMBL314893,CCCCCCn1ncn(-c2ccc(S(=O)(=O)Nc3ccc(CCNC[C@H](O)c4cccnc4)cc3)cc2)c1=O,8500.0,nM,5.07
CHEMBL82296,CCCCCCN1CCN(c2ccc(S(=O)(=O)Nc3ccc(CCNC[C@H](O)c4cccnc4)cc3)cc2)C1=O,2300.0,nM,5.64
CHEMBL163579,CCCCCCCCn1cnn(-c2ccc(S(=O)(=O)Nc3ccc(CCNC[C@H](O)c4cccnc4)cc3)cc2)c1=O,730.0,nM,6.14
CHEMBL22386,CCCCCCn1ccn(-c2ccc(S(=O)(=O)Nc3ccc(CCNC[C@H](O)c4cccnc4)cc3)cc2)c1=O,12000.0,nM,4.92
CHEMBL163531,CCCCCCCCn1ncn(-c2ccc(S(=O)(=O)Nc3ccc(CCNC[C@H](O)c4cccnc4)cc3)cc2)c1=O,2000.0,nM,5.70
CHEMBL84117,CCCCCCN1C(=O)CN(c2ccc(S(=O)(=O)Nc3ccc(CCNC[C@H](O)c4cccnc4)cc3)cc2)C1=O,2000.0,nM,5.70
CHEMBL312546,CCCCCCn1c(C)cn(-c2ccc(S(=O)(=O)Nc3ccc(CCNC[C@H](O)c4cccnc4)cc3)cc2)c1=O,7000.0,nM,5.16
CHEMBL415039,O=S(=O)(Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1)c1ccc(-c2noc(Cc3ccc(C(F)(F)F)cc3)n2)cc1,2000.0,nM,5.70
CHEMBL287567,O=S(=O)(Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1)c1ccc(-c2noc(COc3ccc(OC(F)(F)F)cc3)n2)cc1,5000.0,nM,5.30
CHEMBL28405,O=S(=O)(Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1)c1ccc(-c2nc(Cc3ccc(F)c(F)c3)no2)cc1,2500.0,nM,5.60
CHEMBL287562,O=S(=O)(Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1)c1ccc(-c2noc(COc3ccc4ccccc4c3)n2)cc1,90000.0,nM,4.05
CHEMBL285240,O=S(=O)(Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1)c1ccc(-c2nc(Cc3ccc(F)cc3)no2)cc1,4000.0,nM,5.40
CHEMBL32411,O=S(=O)(Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1)c1ccc(-c2noc(COc3ccc(F)c(F)c3)n2)cc1,1430.0,nM,5.84
CHEMBL285499,O=S(=O)(Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1)c1ccc(-c2noc(Cc3cc(F)c(F)c(F)c3)n2)cc1,720.0,nM,6.14
CHEMBL286435,O=S(=O)(Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1)c1ccc(-c2noc(COc3ccc(F)cc3)n2)cc1,490.0,nM,6.31
CHEMBL288550,O=S(=O)(Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1)c1ccc(-c2nc(COc3ccc(F)cc3)no2)cc1,7500.0,nM,5.12
CHEMBL33515,O=S(=O)(Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1)c1ccc(-c2noc(Cc3cccc(OC(F)(F)F)c3)n2)cc1,5500.0,nM,5.26
CHEMBL289250,CC(=O)Nc1ccc(Cc2nc(-c3ccc(S(=O)(=O)Nc4ccc(CCNC[C@H](O)c5cccnc5)cc4)cc3)no2)cc1,5000.0,nM,5.30
CHEMBL286438,O=S(=O)(Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1)c1ccc(-c2noc(Cc3ccc(-c4ccccn4)cc3)n2)cc1,4500.0,nM,5.35
CHEMBL33292,O=S(=O)(Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1)c1ccc(-c2noc(Cc3ccc(OC(F)(F)F)cc3)n2)cc1,7600.0,nM,5.12
CHEMBL289248,CS(=O)(=O)NC(c1ccc(F)cc1)c1nc(-c2ccc(S(=O)(=O)Nc3ccc(CCNC[C@H](O)c4cccnc4)cc3)cc2)no1,2500.0,nM,5.60
CHEMBL286859,O=S(=O)(Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1)c1ccc(-c2noc(Cc3ccc(F)cc3)n2)cc1,1660.0,nM,5.78
CHEMBL289249,O=C(c1ccc(F)cc1)c1nc(-c2ccc(S(=O)(=O)Nc3ccc(CCNC[C@H](O)c4cccnc4)cc3)cc2)no1,15000.0,nM,4.82
CHEMBL33155,COC(=O)NC(c1ccc(F)cc1)c1nc(-c2ccc(S(=O)(=O)Nc3ccc(CCNC[C@H](O)c4cccnc4)cc3)cc2)no1,5400.0,nM,5.27
CHEMBL33384,O=S(=O)(Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1)c1ccc(-c2nc(COc3ccc(F)c(F)c3)no2)cc1,3500.0,nM,5.46
CHEMBL33224,O=S(=O)(Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1)c1ccc(-c2noc(C(O)c3ccc(F)cc3)n2)cc1,2500.0,nM,5.60
CHEMBL287561,O=S(=O)(Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1)c1ccc(-c2noc(Cc3cccc(F)c3)n2)cc1,695.0,nM,6.16
CHEMBL32891,NC(c1ccc(F)cc1)c1nc(-c2ccc(S(=O)(=O)Nc3ccc(CCNC[C@H](O)c4cccnc4)cc3)cc2)no1,2000.0,nM,5.70
CHEMBL286437,O=S(=O)(Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1)c1ccc(-c2noc(Cc3ccc4ccccc4c3)n2)cc1,1500.0,nM,5.82
CHEMBL285001,O=S(=O)(Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1)c1ccc(-c2noc(Cc3ccc(F)c(F)c3)n2)cc1,980.0,nM,6.01
CHEMBL34406,COc1ccc(OCc2nc(-c3ccc(S(=O)(=O)Nc4ccc(CCNC[C@H](O)c5cccnc5)cc4)cc3)no2)cc1,5000.0,nM,5.30
CHEMBL32418,O=S(=O)(Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1)c1ccc(-c2noc(COc3ccc(C4N=NN=N4)cc3)n2)cc1,8000.0,nM,5.10
CHEMBL291246,CSc1ccc(Cc2nc(-c3ccc(S(=O)(=O)Nc4ccc(CCNC[C@H](O)c5cccnc5)cc4)cc3)no2)cc1,9500.0,nM,5.02
CHEMBL286231,O=S(=O)(Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1)c1ccc(-c2noc(COc3ccccc3O)n2)cc1,2500.0,nM,5.60
CHEMBL405245,CNC(=O)NC(c1ccc(F)cc1)c1nc(-c2ccc(S(=O)(=O)Nc3ccc(CCNC[C@H](O)c4cccnc4)cc3)cc2)no1,1500.0,nM,5.82
CHEMBL285704,CC(=O)Nc1ccc(OCc2nc(-c3ccc(S(=O)(=O)Nc4ccc(CCNC[C@H](O)c5cccnc5)cc4)cc3)no2)cc1,9500.0,nM,5.02
CHEMBL34441,CS(=O)(=O)Nc1ccc(Cc2nc(-c3ccc(S(=O)(=O)Nc4ccc(CCNC[C@H](O)c5cccnc5)cc4)cc3)no2)cc1,3000.0,nM,5.52
CHEMBL174984,COc1cc(C[C@@H]2NCCc3cc(O)c(O)cc32)cc(OC)c1OC,6.1,nM,8.21
CHEMBL74860,CCCCCCNC(=O)Nc1ccc(S(=O)(=O)Nc2ccc(-c3cccc(CC4NCCc5cc(O)c(O)cc54)c3)cc2)cc1,100000.0,nM,4.00
CHEMBL312074,CCCCCCNC(=O)Nc1ccc(S(=O)(=O)Nc2ccc(-c3ccc(OCC4NCCc5cc(O)c(O)cc54)cc3)cc2)cc1,160.0,nM,6.80
CHEMBL102194,CCCCCCCCNC(=O)Nc1ccc(S(=O)(=O)N2CCC(CNC[C@H](O)COc3ccc(O)cc3)CC2)cc1,4.0,nM,8.40
CHEMBL307647,COc1c(I)cc(CC2NCCc3nc(N)sc32)cc1I,56.0,nM,7.25
CHEMBL431048,CS(=O)(=O)Nc1cc(OC[C@@H](O)CNCC2CCN(S(=O)(=O)c3ccc(NC(=O)NCc4cc(F)ccc4F)cc3)CC2)ccc1O,268.0,nM,6.57
CHEMBL308860,CCCCCCNC(=O)Nc1ccc(S(=O)(=O)Nc2cccc(-c3ccc(OCC4NCCc5cc(O)c(O)cc54)cc3)c2)cc1,990.0,nM,6.00
CHEMBL308868,CCCCCCNC(=O)Nc1ccc(S(=O)(=O)Nc2cccc(-c3cccc(CC4NCCc5cc(O)c(O)cc54)c3)c2)cc1,710.0,nM,6.15
CHEMBL67998,CCCCCCNC(=O)Nc1ccc(S(=O)(=O)Nc2ccc3cc(CC4NCCc5cc(O)c(O)cc54)ccc3c2)cc1,300.0,nM,6.52
CHEMBL421871,COc1cc(-c2ccc(CC3NCCc4cc(O)c(O)cc43)cc2)cc(OC)c1OC,760.0,nM,6.12
CHEMBL75604,CCCCCCNC(=O)Nc1ccc(S(=O)(=O)Nc2ccc(-c3ccc(CC4NCCc5cc(O)c(O)cc54)cc3)cc2)cc1,3400.0,nM,5.47
CHEMBL305891,CCCCCCNC(=O)Nc1ccc(S(=O)(=O)Nc2cccc(-c3ccc(CC4NCCc5cc(O)c(O)cc54)cc3)c2)cc1,32000.0,nM,4.50
CHEMBL308126,CCCCCCNC(=O)Nc1ccc(S(=O)(=O)Nc2ccc(OCC3NCCc4cc(O)c(O)cc43)cc2)cc1,300.0,nM,6.52
CHEMBL74085,CCCCCCNC(=O)Nc1ccc(S(=O)(=O)Nc2ccc(CC3NCCc4cc(O)c(O)cc43)cc2)cc1,200.0,nM,6.70
CHEMBL83754,O=C1N(CCCC(F)(F)C(F)(F)F)CCN1c1ccc(S(=O)(=O)Nc2ccc(CCNC[C@H](O)c3cccnc3)cc2)cc1,9000.0,nM,5.05
CHEMBL291992,CCCCCCc1csc(-c2ccc(S(=O)(=O)Nc3ccc(CCNC[C@H](O)c4cccnc4)cc3)cc2)n1,620.0,nM,6.21
CHEMBL291516,O=S(=O)(Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1)c1ccc(-c2nc(-c3c[nH]c4ccccc34)cs2)cc1,50000.0,nM,4.30
CHEMBL61962,O=S(=O)(Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1)c1ccc(-c2nc(-c3ccc(O)cc3)cs2)cc1,5700.0,nM,5.24
CHEMBL61429,O=S(=O)(Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1)c1ccc(Cc2nc(Cc3ccc4ccccc4c3)cs2)cc1,2000.0,nM,5.70
CHEMBL82296,CCCCCCN1CCN(c2ccc(S(=O)(=O)Nc3ccc(CCNC[C@H](O)c4cccnc4)cc3)cc2)C1=O,2300.0,nM,5.64
CHEMBL291306,O=S(=O)(Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1)c1ccc(-c2nc(-c3cc4ccccc4s3)cs2)cc1,93000.0,nM,4.03
CHEMBL58798,O=S(=O)(Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1)c1ccc(-c2nc(-c3ccc(F)cc3)cs2)cc1,1900.0,nM,5.72
CHEMBL291594,CC(=O)Nc1ccc(-c2csc(-c3ccc(S(=O)(=O)Nc4ccc(CCNC[C@H](O)c5cccnc5)cc4)cc3)n2)cc1,2100.0,nM,5.68
CHEMBL22386,CCCCCCn1ccn(-c2ccc(S(=O)(=O)Nc3ccc(CCNC[C@H](O)c4cccnc4)cc3)cc2)c1=O,12000.0,nM,4.92
CHEMBL418308,O=S(=O)(Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1)c1ccc(-c2nc(Cc3ccc4ccccc4c3)cs2)cc1,2300.0,nM,5.64
CHEMBL164401,CN1CCN(c2ccc(S(=O)(=O)Nc3ccc(CCNC[C@H](O)c4cccnc4)cc3)cc2)C1=O,2000.0,nM,5.70
CHEMBL79675,O=C1N(CCCC(F)(F)F)CCN1c1ccc(S(=O)(=O)Nc2ccc(CCNC[C@H](O)c3cccnc3)cc2)cc1,6500.0,nM,5.19
CHEMBL293577,O=S(=O)(Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1)c1ccc(-c2nc(-c3cnc4ccccc4c3)cs2)cc1,47000.0,nM,4.33
CHEMBL350590,O=C1N(CCC2CCCCC2)CCN1c1ccc(S(=O)(=O)Nc2ccc(CCNC[C@H](O)c3cccnc3)cc2)cc1,1000.0,nM,6.00
CHEMBL294172,O=S(=O)(Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1)c1ccc(-c2nc(CCCC3CCCC3)cs2)cc1,3000.0,nM,5.52
CHEMBL349689,O=c1n(CCCC(F)(F)F)ccn1-c1ccc(S(=O)(=O)Nc2ccc(CCNC[C@H](O)c3cccnc3)cc2)cc1,10000.0,nM,5.00
CHEMBL58407,O=S(=O)(Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1)c1ccc(-c2nc(-c3ccc4ccccc4c3)cs2)cc1,6300.0,nM,5.20
CHEMBL294753,CC(C)(C)c1ccc(-c2csc(-c3ccc(S(=O)(=O)Nc4ccc(CCNC[C@H](O)c5cccnc5)cc4)cc3)n2)cc1,2000.0,nM,5.70
CHEMBL165177,O=C1N(CCCC2CCCCC2)CCN1c1ccc(S(=O)(=O)Nc2ccc(CCNC[C@H](O)c3cccnc3)cc2)cc1,1000.0,nM,6.00
CHEMBL60281,CCCCCCCCc1csc(-c2ccc(S(=O)(=O)Nc3ccc(CCNC[C@H](O)c4cccnc4)cc3)cc2)n1,3000.0,nM,5.52
CHEMBL291593,CCCCCCCCc1csc(Cc2ccc(S(=O)(=O)Nc3ccc(CCNC[C@H](O)c4cccnc4)cc3)cc2)n1,1000.0,nM,6.00
CHEMBL83753,CCCCCCCCn1ccn(-c2ccc(S(=O)(=O)Nc3ccc(CCNC[C@H](O)c4cccnc4)cc3)cc2)c1=O,330.0,nM,6.48
CHEMBL434284,COCCCCN1CCN(c2ccc(S(=O)(=O)Nc3ccc(CCNC[C@H](O)c4cccnc4)cc3)cc2)C1=O,50000.0,nM,4.30
CHEMBL59270,O=S(=O)(Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1)c1ccc(-c2nc(CCc3ccccc3)cs2)cc1,910.0,nM,6.04
CHEMBL349651,O=c1n(CCCC2CCCC2)ccn1-c1ccc(S(=O)(=O)Nc2ccc(CCNC[C@H](O)c3cccnc3)cc2)cc1,760.0,nM,6.12
CHEMBL84190,CCCCCCCCN1CCN(c2ccc(S(=O)(=O)Nc3ccc(CCNC[C@H](O)c4cccnc4)cc3)cc2)C1=O,380.0,nM,6.42
CHEMBL79915,O=C(CCN1CCN(c2ccc(S(=O)(=O)Nc3ccc(CCNC[C@H](O)c4cccnc4)cc3)cc2)C1=O)N1CCCC1,100000.0,nM,4.00
CHEMBL430594,O=S(=O)(Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1)c1ccc(-c2nc(Cc3ccc(F)cc3)cs2)cc1,2500.0,nM,5.60
CHEMBL166188,O=C1N(CCCc2ccccc2)CCN1c1ccc(S(=O)(=O)Nc2ccc(CCNC[C@H](O)c3cccnc3)cc2)cc1,2000.0,nM,5.70
CHEMBL350931,O=C1N(Cc2ccc(F)c(F)c2)CCN1c1ccc(S(=O)(=O)Nc2ccc(CCNC[C@H](O)c3cccnc3)cc2)cc1,3500.0,nM,5.46
CHEMBL22317,O=C1N(CCCC2CCCC2)CCN1c1ccc(S(=O)(=O)Nc2ccc(CCNC[C@H](O)c3cccnc3)cc2)cc1,760.0,nM,6.12
CHEMBL58241,CCCCCCc1ccc(-c2csc(-c3ccc(S(=O)(=O)Nc4ccc(CCNC[C@H](O)c5cccnc5)cc4)cc3)n2)cc1,90000.0,nM,4.05
CHEMBL349505,O=c1n(Cc2ccc(F)c(F)c2)ccn1-c1ccc(S(=O)(=O)Nc2ccc(CCNC[C@H](O)c3cccnc3)cc2)cc1,13000.0,nM,4.89
CHEMBL165015,CCCCCN1CCN(c2ccc(S(=O)(=O)Nc3ccc(CCNC[C@H](O)c4cccnc4)cc3)cc2)C1=O,5000.0,nM,5.30
CHEMBL165513,CCCCCCCN1CCN(c2ccc(S(=O)(=O)Nc3ccc(CCNC[C@H](O)c4cccnc4)cc3)cc2)C1=O,1000.0,nM,6.00
CHEMBL166013,CCCCN1CCN(c2ccc(S(=O)(=O)Nc3ccc(CCNC[C@H](O)c4cccnc4)cc3)cc2)C1=O,5300.0,nM,5.28
CHEMBL294492,O=S(=O)(Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1)c1ccc(-c2nc(-c3cccnc3)cs2)cc1,3000.0,nM,5.52
CHEMBL351967,O=C1N(CCC2CCCC2)CCN1c1ccc(S(=O)(=O)Nc2ccc(CCNC[C@H](O)c3cccnc3)cc2)cc1,5000.0,nM,5.30
CHEMBL294849,CC(=O)NCCCCCc1csc(-c2ccc(S(=O)(=O)Nc3ccc(CCNC[C@H](O)c4cccnc4)cc3)cc2)n1,16000.0,nM,4.80
CHEMBL293994,O=S(=O)(Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1)c1ccc(-c2nc(-c3ccc(F)c(F)c3)cs2)cc1,1700.0,nM,5.77
CHEMBL57908,O=S(=O)(Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1)c1ccc(-c2nc(-c3cc4ccccc4o3)cs2)cc1,49000.0,nM,4.31
CHEMBL433248,O=S(=O)(Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1)c1ccc(-c2nc(-c3ccccn3)cs2)cc1,4000.0,nM,5.40
CHEMBL292598,O=S(=O)(Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1)c1ccc(-c2nc(-c3ccc4ncccc4c3)cs2)cc1,8000.0,nM,5.10
CHEMBL351596,CCCCC(C)(C)CN1CCN(c2ccc(S(=O)(=O)Nc3ccc(CCNC[C@H](O)c4cccnc4)cc3)cc2)C1=O,5000.0,nM,5.30
CHEMBL162043,O=C1N(CCCc2ccc(Cl)cc2)CCN1c1ccc(S(=O)(=O)Nc2ccc(CCNC[C@H](O)c3cccnc3)cc2)cc1,2000.0,nM,5.70
CHEMBL331744,O=S(=O)(Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1)c1ccc(-c2nc(-c3ccc(OC(F)(F)F)cc3)cs2)cc1,1200.0,nM,5.92
CHEMBL111201,O=S(=O)(Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1)c1ccc(-c2nc(-c3ccc(C(F)(F)F)cc3)cs2)cc1,2300.0,nM,5.64
CHEMBL293994,O=S(=O)(Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1)c1ccc(-c2nc(-c3ccc(F)c(F)c3)cs2)cc1,1700.0,nM,5.77
CHEMBL338794,O=S(=O)(Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1)c1ccc(-c2nc(-c3cccc(C(F)(F)F)c3)cs2)cc1,980.0,nM,6.01
CHEMBL333417,O=S(=O)(Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1)c1ccc(-c2nc(-c3ccccc3C(F)(F)F)cs2)cc1,1800.0,nM,5.75
