molecule_id,smiles,mol_weight,logp,hbd,hba,source
DL_00134,CC1CC(=O)NN=C1c1ccc(NC(=O)CCNCC(O)COc2cccc3[nH]ccc23)cc1.Cl,499.9990000000002,2.8079000000000014,5,6,downloaded
DL_00135,CC(=O)c1cc2c(cc1O)OC(C)(C)C=C2,218.25199999999998,2.7790000000000017,1,3,downloaded
DL_00139,COC(=O)[C@H]1C[C@H](O)CCN1,159.18499999999997,-0.7277000000000002,2,4,downloaded
DL_00142,CCCCCCO[C@H]1C=C(C(=O)O)O[C@@H]([C@H](O)[C@H](O)CO)[C@@H]1NC(C)=O,375.4180000000001,-0.4619999999999982,5,7,downloaded
DL_00145,C[C@H]1CC[C@@H](NCc2ccc3c(c2)Cc2c(-c4ccc(CC(=O)O)cc4)n[nH]c2-3)CC1,415.5370000000002,4.943300000000003,3,3,downloaded
DL_00153,C=C(C)N1Cc2cccc3[nH]c(=O)n(c23)C(C)C1,243.30999999999997,2.2398,1,3,downloaded
DL_00156,Cc1nonc1-c1nc(S)n[nH]1,183.19600000000003,0.4518199999999999,2,6,downloaded
DL_00157,Cc1ccc(OCCCON/C(N)=N/C(N)=N/C(C)C)cc1C.Cl,357.88600000000014,2.0531400000000004,3,3,downloaded
DL_00161,CC(C#CCN1CCCC1)N(C)S(C)(=O)=O,244.35999999999999,0.36549999999999994,0,3,downloaded
DL_00162,C/C(=C\CC1OC(=O)NC1=O)c1cccc(OCCc2nc(-c3ccccc3)oc2C)c1,432.47600000000017,4.699920000000004,1,6,downloaded
DL_00163,CC(=O)O[C@H]1c2c(ccc3ccc(=O)oc23)OC(C)(C)[C@H]1OC(C)=O,346.3350000000001,2.4999000000000002,0,7,downloaded
DL_00170,CCN(CC)c1nc(Cc2c(F)cccc2F)cc(=O)[nH]1,293.317,2.4851,1,3,downloaded
DL_00172,c1cc2c(c(N3CCN(CCCCCc4c[nH]c5ccccc45)CC3)c1)OCCO2,405.5420000000002,4.4741000000000035,1,4,downloaded
DL_00173,CN(C)CCNC(=O)C(=O)CCCCCCOc1ccc(-c2ccccc2)cc1,396.531,3.929800000000003,1,4,downloaded
DL_00175,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)[C@H]1CO[C@@H](OCC2CCCCC2)CN1,426.5040000000003,2.284299999999999,3,5,downloaded
DL_00178,COc1noc2c1CN(C)CC2.Cl,204.65699999999998,1.0929,0,4,downloaded
